title|original_title|release_year|length|genres|average_rating|nb_votes
Yaz Kis Demeden|Yaz Kis Demeden|2019|61|Documentary|5,7|9
Tanri göçmen çocuklari sever mi anne?|Tanri göçmen çocuklari sever mi anne?|2019|96|Documentary|6,9|13
Kader Postasi|Kader Postasi|2019|104|Drama,Romance|5,9|16
The Ringmaster|The Ringmaster|2019|88|Documentary|8,7|18
Five Million Dollar Life|Five Million Dollar Life|2019|112|Mystery|6,7|32
Forest of the Dead Sharks|Forest of the Dead Sharks|2019|50|Action,Comedy,Horror|7,3|354
Death Whisper|Death Whisper|2019|91|Horror|6,5|151
Bastan basa|Bastan basa|2019|57|Documentary|6,5|15
Köpek filmi|Köpek filmi|2019|60|Documentary|6,8|42
Back from 2038|Back from 2038|2019|88|Comedy,Fantasy|5,3|14
Ispade Rajavum Idhaya Raniyum|Ispade Rajavum Idhaya Raniyum|2019|141|Drama,Romance|6,5|388
The Purple Mist|The Purple Mist|2019|106|Drama|6,7|86
Egise Taara Juvvalu|Egise Taara Juvvalu|2017|\N|Drama|6,3|6
Bikers Kental 2|Bikers Kental 2|2019|94|Comedy|7,0|93
P Storm|'P' fung bou|2019|96|Action,Crime|5,9|497
Gone Kesh|Gone Kesh|2019|110|Comedy,Drama|7,0|1128
When the Persimmons Grew|When the Persimmons Grew|2019|118|Documentary|7,0|24
Finals|Finals|2019|122|Drama,Sport|7,2|252
Chicago I'm Home|Chicago I'm Home|2019|78|Comedy|7,1|21
A Deadly Legend|A Deadly Legend|2020|97|Horror|6,6|45
16 Bars|16 Bars|1018|94|Documentary|8,1|20
Don't Work (1968 - 2018)|Ne travaille pas (1968 - 2018)|1018|88|Documentary|6,3|10
Worlds of Ursula K. Le Guin|Worlds of Ursula K. Le Guin|1018|68|Documentary|7,6|174
The Protector|The Protector|2019|126|Comedy,Romance|5,5|418
Anuttara|Anuttara|1018|86|Drama|8,3|7
Nemesis|Nemesis|2019|89|Action,Thriller|7,4|40
Seeru|Seeru|2020|123|Action,Drama|5,4|230
Clean|Clean|2020|\N|Crime,Drama|7,4|10
Love Aaj Kal|Love Aaj Kal|2020|142|Drama,Romance|5,0|6437
Nedunalvaadai|Nedunalvaadai|2019|120|Drama|7,3|160
My Cousin|Mon cousin|2020|104|Comedy|5,7|52
Simple Passion|Passion simple|2020|96|Drama,Romance|5,6|25
67 49 32 Kuzey|67 49 32 Kuzey|2019|55|Documentary|6,8|14
Hiwwe wie Driwwe - Pfälzisch in Amerika|Hiwwe wie Driwwe - Pfälzisch in Amerika|2019|91|Documentary|8,4|8
Aghavan|Aghavan|2019|158|Family|6,6|30
Dracula|Dracula|2019|\N|Drama|3,7|6
Felix in Wonderland|Felix in Wonderland|2019|49|Documentary,Music,Musical|7,4|21
Between Me and My Mind|Between Me and My Mind|2019|100|Documentary|7,8|177
Piedone nyomában|Piedone nyomában|1018|65|Documentary|7,8|53
Eleições|Eleições|2019|100|Documentary|7,6|16
Patterns of Evidence: Moses Controversy|Patterns of Evidence: The Moses Controversy|2019|140|Documentary|6,8|76
Miguelito|Miguelito - Canto a Borinquen|2019|94|Documentary,Music|7,2|6
Incels, a Documentary|Incels, a Documentary|2019|\N|Documentary|5,2|6
Asia|Asia|2020|85|Drama|7,5|23
Lucky One|Lucky One|2019|76|Drama|5,5|18
Ubuntu|Ubuntu|2017|114|Drama|7,6|16
Super Sketch|Super Sketch|1018|119|Thriller|7,1|25
The Place of the Three Waterfalls. Little Stories of Hiroshima|The Place of the Three Waterfalls. Little Stories of Hiroshima|1018|65|Documentary|6,6|5
Mukherjee Dar Bou|Mukherjee Dar Bou|2019|127|Drama,Family|7,9|376
Curses|Chaeng|2019|\N|Horror|5,2|13
Piola|Piola|2019|99|Drama|6,8|16
Canova|Canova|2019|96|Documentary|7,2|5
When I Last Saw Jesse|When I Last Saw Jesse|2019|82|Documentary|6,2|23
Precure Miracle Universe Movie|Precure Miracle Universe Movie|2019|70|Adventure,Animation,Family|9,0|116
Matoma: One in a Million|Matoma: One in a Million|1018|78|Documentary,Music|5,7|6
The Struggle|The Struggle|2019|96|Action|2,3|32
My Silent Lips|My Silent Lips|2019|82|Horror|4,8|5
Old Is Gold|Old Is Gold|2019|136|Comedy,Drama|7,6|5
Countdown|Countdown|2019|90|Horror,Thriller|5,4|23046
