title|original_title|release_year|length|genres|average_rating|nb_votes
690 Vopnafjörður|690 Vopnafjörður|2017|57|Documentary|6,5|8
Strike, Dear Mistress, and Cure His Heart|Strike, Dear Mistress, and Cure His Heart|1018|71|Drama,Horror|4,9|15
Shankly: Nature's Fire|Shankly: Nature's Fire|2017|90|Documentary|7,3|101
Man Proposes, God Disposes|Man Proposes, God Disposes|2017|81|Drama|7,2|13
Spiral Farm|Spiral Farm|2019|85|Drama|5,0|91
Arada|Arada|1018|88|Drama,Music,Romance|5,2|439
You Will Be a Man|Serás hombre|1018|97|Documentary|6,4|16
A Little Wisdom|A Little Wisdom|2017|92|Documentary|7,8|35
The Mystery of Godliness: The Sequel|The Mystery of Godliness: The Sequel|2017|185|Drama|7,8|106
Dog Days|Dog Days|1018|113|Comedy,Drama,Romance|6,2|3985
Tales of Frankenstein|Tales of Frankenstein|1018|112|Comedy,Horror|6,3|392
Suhu Beku: The Movie|Suhu Beku: The Movie|2017|88|Drama|7,7|6
E-San Love Story|E-San Love Story|2017|94|Comedy,Drama|6,0|33
Boyz|Boyz|2017|135|Comedy,Drama|6,4|128
Checkered Ninja|Ternet ninja|1018|83|Action,Adventure,Animation|7,3|3749
2016 the End|2016 the End|2017|130|Comedy|5,9|69
Rock'n'Roll Eddie|Rock'n'Roll Eddie|2019|101|Action,Adventure,Comedy|5,9|77
Michelin Stars: Tales from the Kitchen|Michelin Stars: Tales from the Kitchen|2017|82|Documentary|6,6|97
No Doubt|No Doubt|2019|71|Comedy,Romance|6,0|381
World Beaters|World Beaters|2017|\N|Documentary,Sport|6,3|9
Loon|Loon|2017|90|Drama|3,7|6
Construindo Pontes|Construindo Pontes|2017|72|Documentary|6,1|32
The Interpreter|Tlmocník|1018|113|Comedy,Drama|6,7|429
Eter|Eter|1018|118|Drama,History,Thriller|6,0|365
UnExpected Reasons|UnExpected Reasons|1018|\N|Drama,Thriller|7,9|8
Spy Intervention|Spy Intervention|2020|93|Action,Adventure,Comedy|4,5|1161
The Sandman|The Sandman|2017|90|Horror|4,4|1362
Letters to a Book Thief|Cartas para um ladrão de livros|2017|96|Documentary|8,1|18
ORCA: A True Story|ORCA: A True Story|2017|79|Biography,Comedy,Documentary|6,2|6
I Want the Eternal|Quiero lo eterno|2017|74|Sci-Fi,Thriller|3,2|14
The Last Hour|La hora final|2017|117|Drama,History,Thriller|6,2|374
Tara's Footprint|La huella de Tara|1018|71|Documentary|6,6|17
The Reluctant Radical|The Reluctant Radical|1018|77|Documentary|8,3|30
Anomalia|Anomalia|2019|\N|Drama,Romance,Sci-Fi|4,6|8
Ride Hard: Live Free|Ride Hard: Live Free|2020|93|Action,Adventure,Drama|8,9|8
Nikka Zaildar 2|Nikka Zaildar 2|2017|150|Comedy,Drama,Romance|6,7|430
Alias Yineth|Alias Yineth|1018|70|Documentary|8,0|8
Return of the Scarecrow|Return of the Scarecrow|2017|74|Comedy,Horror|3,3|71
Bennett's War|Bennett's War|2019|94|Sport|5,8|547
GRADE|GRADE|2017|64|Drama|6,7|24
The Lost Café|The Lost Café|1018|76|Drama|6,6|8
Loving in Tandem|Loving in Tandem|2017|108|Comedy,Romance|7,1|141
Baap Vechvano Chhe|Baap Vechvano Chhe|2017|\N|Family|7,4|5
Shikkari Shambhu|Shikkari Shambhu|1018|146|Comedy,Mystery|5,6|434
Clearing the Way|Clearing the Way|2017|93|Documentary|9,1|8
Song of the Tree|Song of the Tree|1018|93|Action,Drama,History|7,1|54
Women of Mafia|Kobiety mafii|1018|138|Action,Crime,Drama|4,7|1197
Yol Ayrimi|Yol Ayrimi|2017|150|Drama|6,7|3605
Bernabéu|Bernabéu|2017|75|Documentary|7,4|27
Safe Inside|Safe Inside|2019|102|Thriller|7,4|19
NO-ONE|NO-ONE|1018|117|Drama,Thriller|5,6|15
Szamota's Mistress|Szamota's Mistress|2017|46|Crime,Fantasy,Horror|5,6|18
Cashed Out Casino|Cashed Out Casino|2017|\N|Documentary|7,1|9
Angkar|Angkar|1018|71|Documentary|6,9|16
The Dead King|The Dead King|1018|72|Drama|6,8|5
Amalia|Amalia|1018|73|Drama|5,0|7
Proxima|Proxima|2019|107|Action,Drama|6,4|3515
Always Be My Maybe|Always Be My Maybe|2019|101|Comedy,Romance|6,8|43984
El Chicano|El Chicano|1018|108|Action,Crime,Drama|5,3|1040
Enjoy Your Trip to Hell|Enjoy Your Trip to Hell|2017|76|Sci-Fi|7,6|18
Likemeback|Likemeback|1018|80|Drama|4,8|184
Letters|Letters|2017|74|Documentary|7,0|10
After the Apology|After the Apology|2017|81|Documentary|7,9|11
Year 3000|Year 3000|1018|60|Adventure,Animation,Comedy|4,3|14
Ouija House|Ouija House|1018|95|Horror,Thriller|3,0|876
Cappuccino|Cappuccino|2017|131|Comedy,Drama|3,8|33
Adolf Hitler's Last Appeal to Reason|Adolf Hitler's Last Appeal to Reason|2017|\N|History|7,8|32
The Sinking City: Capsule Odyssey|Sai fong gik lok|2017|100|Comedy|5,6|134
The Escape Of Prisoner 614|The Escape of Prisoner 614|1018|97|Action,Adventure,Comedy|4,5|723
Black Divaz|Black Divaz|1018|60|Documentary|6,1|12
Urine Aid|Urine Aid|2017|62|Documentary|6,7|23
Mothers' Instinct|Duelles|1018|97|Drama,Thriller|6,3|838
Neomanila|Neomanila|2017|90|Crime|7,2|74
Beyaz Balina|Beyaz Balina|2017|85|Drama,Family|6,9|68
Musical Drama Chinese Gospel Choir 19th Performance|Musical Drama Chinese Gospel Choir 19th Performance|2017|\N|Drama|8,0|160
Dove cadono le ombre|Dove cadono le ombre|2017|95|Drama|6,0|53
I Have A Picture. Film No. 1001 in the Life of the oldest Extra in the world|I Have A Picture. Film No. 1001 in the Life of the oldest Extra in the world|2017|72|Biography,Comedy,Documentary|7,4|10
Jagga Jiunda E|Jagga Jiunda E|1018|124|Drama|5,8|26
Love Always, Mom|Love Always, Mom|2019|91|Documentary,Drama|8,6|16
Oh My God!|Oh mio Dio!|2017|95|Comedy,Drama|6,6|14
At the Philosophers' School|À l'école des philosophes|1018|85|Documentary|7,3|19
Extraordinary Ordinary People|Extraordinary Ordinary People|2017|84|Documentary|7,3|6
It's A Party|It's A Party|1018|78|Comedy|5,2|45
Moving Stories|Moving Stories|1018|84|Documentary|7,9|12
From Core to Sun|From Core to Sun|1018|90|Documentary|7,4|101
Return to Seattle|Return to Seattle|1018|88|Drama|6,3|6
Andarkahini: Self-exile|Andarkahini: Self-exile|2019|91|Drama|8,5|46
The Theta Girl|The Theta Girl|2017|98|Action,Horror,Sci-Fi|5,7|171
Team Mali Documental|Team Mali Documental|2017|72|Documentary|7,4|5
Red Letter Day|Red Letter Day|2019|76|Comedy,Thriller|4,3|538
The Dark Side of Opulent|The Dark Side of Opulent|2020|119|Drama|2,5|33
Okkadu Migiladu|Okkadu Migiladu|2017|141|Action|7,1|732
Veedevadu|Veedevadu|2017|125|Thriller|5,7|51
Ungarala Rambabu|Ungarala Rambabu|2017|140|Comedy|3,2|28
The 27 Club|The 27 Club|2019|97|Horror|3,4|137
Shutout|Shutout|2017|119|Comedy,Drama,Sport|7,4|7
Bordo Bereliler Suriye|Bordo Bereliler Suriye|2017|\N|Action|3,3|163
Piazza Vittorio|Piazza Vittorio|2017|76|Documentary|6,2|73
The Road of Love|The Road of Love|2017|57|Drama,Romance|7,2|143
Oyster|Oyster|2017|80|Documentary|8,1|7
Anthology of Horror 6|Anthology of Horror 6|2017|80|Action,Comedy,Horror|7,1|36
Bialy Wilk: Historia komputerowego Wiedzmina|Bialy Wilk: Historia komputerowego Wiedzmina|2017|113|Documentary|8,9|32
In the Cloud|In the Cloud|1018|90|Thriller|3,8|325
Suvarna Purushan|Suvarna Purushan|1018|106|Comedy|6,6|16
Elephant Path: Njaia Njoku|Elephant Path: Njaia Njoku|1018|80|Documentary|7,8|6
Tiro libero|Tiro libero|2017|93|Drama|6,3|48
Chi m'ha visto|Chi m'ha visto|2017|105|Comedy|5,7|282
Veleno|Veleno|2017|103|Drama|6,4|72
Luca|Luca|2019|151|Drama,Mystery,Romance|7,4|1314
Where I've Never Lived|Dove non ho mai abitato|2017|97|Drama,Romance|6,0|188
All the Little Things We Kill|All the Little Things We Kill|2019|\N|Drama|6,0|14
Discarded Things|Discarded Things|2020|107|Drama|9,3|15
Fatal Premonitions|Fatal Premonitions|2017|\N|Horror|6,1|9
My China Doll|My China Doll|2017|90|Action,Drama|8,5|6
Pinjamkan Hatiku|Pinjamkan Hatiku|2017|120|Drama,Romance|7,7|71
Missing|Missing|1018|120|Drama,Mystery,Thriller|5,7|1916
Time Well Spent|Time Well Spent|1018|84|Adventure,Documentary,Sport|8,8|35
The Hemp Road Trip|The Hemp Road Trip|1018|55|Documentary|9,0|9
The Things We Keep|The Things We Keep|1018|73|Documentary|9,1|9
Srbenka|Srbenka|1018|70|Documentary|7,4|271
Prophecy|Prophecy|2019|85|Documentary|7,8|13
Zero to podium|Zero to podium|2017|86|Biography,Documentary,Sport|8,4|58
The Best Day of My Life|The Best Day of My Life|1018|110|Documentary|7,6|44
Finding Farideh|Finding Farideh|1018|88|Documentary|7,6|129
Vienne avant la nuit|Vienne avant la nuit|2017|80|Documentary|6,5|14
Close Your Eyes|Close Your Eyes|2019|82|Thriller|5,4|7
Bad Poetry Tokyo|Bad Poetry Tokyo|1018|119|Crime,Drama,Family|6,8|50
The Banished|Caliban|2019|88|Drama,Horror,Thriller|3,5|101
Hang Time|Hang Time|2019|85|Comedy,Drama|4,1|36
Wonderlus|Wonderlus|2017|116|Comedy,Drama,Romance|6,7|120
Table Manners|Table Manners|1018|101|Comedy,Drama|6,7|9
Martyr|Martyr|2017|84|Drama,Family,Fantasy|6,4|474
Schopenhauer schizophrenia|Schopenhauer schizophrenia|2017|67|Drama|7,8|16
Running After|Correndo Atrás|1018|90|Comedy|5,2|22
And There Were 4|And There Were 4|1018|86|Action,Drama,Fantasy|4,0|45
Cycle 2017|Cycle 2017|2017|101|Drama|7,8|8
Closure|Closure|1018|90|Comedy,Drama|6,6|128
Evolution of Evil|Removed|1018|70|Thriller|4,3|343
Sunset Society|Sunset Society|1018|90|Horror|2,8|123
Neville D'Almeida: Cronista da Beleza e do Caos|Neville D'Almeida: Cronista da Beleza e do Caos|1018|106|Documentary|7,2|14
B Negative|B Negative|2019|94|Comedy|5,1|7
Znakhar|Znakhar|2019|50|Drama|6,0|18
Mass Leader|Mass Leader|2017|\N|Action|5,2|60
A.R.C.H.I.E. 2|A.R.C.H.I.E. 2|1018|82|Family|5,2|43
A Perfect Family|A Perfect Family|2017|71|Biography,Crime,Drama|7,4|25
Oru Adaar Love|Oru Adaar Love|2019|145|Comedy,Romance|5,5|2104
Yaksh|Yaksh|1018|\N|Thriller|7,3|9
The Artist & The Pervert|The Artist & The Pervert|1018|96|Documentary|8,0|42
In My Mind|In My Mind|2017|78|Documentary|7,1|70
Sun|Sun|2019|104|Comedy|5,1|34
Paul, Apostle of Christ|Paul, Apostle of Christ|1018|108|Adventure,Biography,Drama|6,6|7035
Volubilis|Volubilis|2017|106|Drama|4,2|139
New Heaven and New Earth|New Heaven and New Earth|2017|57|Musical|8,5|124
La manzana de Eva|La manzana de Eva|2017|90|Documentary|6,9|38
Ashr Snin|Ashr Snin|2017|99|Drama|7,7|16
Il risoluto|Il risoluto|2017|159|Documentary|6,1|14
Commander Arian, a Story of Women, War and Freedom|Comandante Arian, una historia de mujeres, guerra y libertad|1018|85|Documentary|7,1|47
Greetings from Krampus|Greetings from Krampus|1018|95|Documentary|8,2|8
The Symphony of Uncertainty|The Symphony of Uncertainty|1018|100|Biography,Documentary|7,1|9
War for Peace|War for Peace|2020|94|Adventure,Documentary,Drama|9,1|10
Mamacita|Mamacita|1018|75|Documentary|7,8|49
The Area|The Area|1018|92|Documentary|6,8|8
Lyubov: Love in Russian|Lyubov - Kärlek på ryska|2017|90|Documentary,Drama|6,8|35
The Psychosis of Whiteness|The Psychosis of Whiteness|1018|85|Documentary,History|6,0|12
Together Forever - Secrets of 50+ Years of Marriage|Die Nacht der Nächte|1018|96|Animation,Comedy,Documentary|7,1|32
Amor Urgente|Amor Urgente|1018|94|Comedy|6,4|23
Farewell Yellow Sea|Farewell Yellow Sea|1018|90|Documentary|7,7|7
After My Death|Joi manheun sonyeo|2017|113|Drama|6,3|206
Mosaic|Mosaic|2017|98|Drama,Sci-Fi|7,9|7
Hit the Night|Hit the Night|2017|85|Comedy,Drama,Romance|6,0|25
Tak sebe zima|Tak sebe zima|1018|84|Drama,Thriller|7,0|20
A Heart for an Eye|One Kilo and Twenty One Grams|1018|80|Drama|5,8|63
States|States|2019|109|Adventure,Comedy,Drama|4,1|35
Sunshine That Can Move Mountains|Bei yang guang yi dong de shan mai|2017|109|Drama,Family,Romance|7,0|24
La Gran Madre|La Gran Madre|2019|97|Documentary,Drama|5,7|35
The Breeding|The Breeding|1018|83|Drama,Thriller|4,8|78
Snezi!|Snezi!|2019|80|Comedy,Drama|5,0|14
Court of Appeals|Court of Appeals|1018|120|Crime,Drama,Thriller|4,9|29
Clowns & Robbers|Clowns & Robbers|1018|87|Adventure,Comedy,Crime|5,9|10
OK|OK|2017|50|Drama,Family|6,7|21
More Than Only|More Than Only|2017|107|Comedy,Drama,Romance|6,5|210
Long Goodbye|Long Goodbye|1018|79|Drama|2,8|12
We Used To Know Each Other|We Used To Know Each Other|2019|76|Comedy,Drama|6,6|47
Meciar|Meciar|2017|90|Documentary|7,3|237
Transference|Transference|2017|\N|Sci-Fi,Thriller|6,1|142
I Hate New York|I Hate New York|1018|75|Documentary|6,8|64
Man from Beirut|Blind|2019|82|Crime,Drama|5,8|61
The Push: Owning Your Reality Is Where the Journey Begins|The Push: Owning Your Reality Is Where the Journey Begins|1018|89|Documentary|6,6|52
Heads and Tails|Heads and Tails|2019|80|Drama|3,8|102
Saving Atlantis|Saving Atlantis|1018|90|Documentary|8,9|8
Another life|Another life|2017|151|Documentary|5,3|7
Little Monsters|Little Monsters|2019|93|Comedy,Horror,Sci-Fi|6,3|12027
Black and Blue|Black and Blue|2019|108|Action,Crime,Thriller|6,3|14431
Chasing Shadows|Chasing Shadows|2019|\N|Crime|8,3|6
Children Gone to Poland|Children Gone to Poland|2019|85|Documentary,Drama|6,7|9
Hudson|Hudson|2019|75|Comedy,Drama|8,4|16
FANTÔME: The Haunting of Brentwood Wine Bistro|FANTÔME: The Haunting of Brentwood Wine Bistro|2017|60|Documentary,History,Horror|8,4|37
Unwholly Moments|Unwholly Moments|1018|115|Comedy,Drama|6,1|27
Shadows on the Road|Shadows on the Road|1018|72|Drama,Mystery,Thriller|4,6|66
Something Crashed in the Woods|Something Crashed in the Woods|2019|74|Horror,Sci-Fi|1,5|50
Adulthood|Eoreundogam|1018|92|Drama|6,5|32
Quiet Heroes|Quiet Heroes|1018|68|Documentary|8,0|63
Miniature Wargaming the Movie|Miniature Wargaming the Movie|2017|105|Documentary|8,0|38
Thank You for Supporting the Arts|Thank You for Supporting the Arts|1018|70|Biography,Documentary|9,4|5
Everything I see is mine|Everything I see is mine|2017|78|Biography|6,9|8
The Lost Footage of Leah Sullivan|The Lost Footage of Leah Sullivan|1018|87|Crime,Horror,Mystery|6,3|86
Don't Be Nice|Don't Be Nice|1018|95|Documentary|9,0|78
C/o Kancharapalem|C/o Kancharapalem|1018|152|Drama|9,0|4071
Falling for Figaro|Falling for Figaro|2020|104|Comedy,Romance|8,0|7
Steelmanville Road|Steelmanville Road|2017|94|Horror|3,8|369
Berlin Drifters|Berlin Drifters|2017|123|Drama|5,2|69
Ti Ani Itar|Ti Ani Itar|2017|102|Drama|7,4|36
Rangasthalam 1985|Rangasthalam|1018|170|Action,Drama|8,4|18076
Svingerid|Svingerid|2017|92|Comedy|6,0|219
Kaybedenler Kulübü Yolda|Kaybedenler Kulübü Yolda|1018|96|Drama|6,0|1328
Kapitäne|Kapitäne|2017|91|Documentary|8,8|11
Flea-picking Samurai|Nomitori zamurai|1018|110|Comedy|5,8|169
A pillanat|A pillanat|2017|90|Drama,Mystery|6,9|7
Unforgiven|Neproshchennyy|1018|106|Drama|6,1|710
Blood Quantum|Blood Quantum|2019|98|Horror|5,5|2289
Il Clan dei Ricciai|Il Clan dei Ricciai|1018|67|Documentary|8,8|5
They Sing up on the Hill|They Sing up on the Hill|2019|86|Comedy,Drama,Music|6,4|5
Drug$|Drug$|1018|80|Documentary|7,5|153
Primal|Primal|2019|97|Action,Thriller|4,9|5105
The Devil All the Time|The Devil All the Time|2020|138|Crime,Drama,Thriller|7,1|56384
The Last Ice Hunters|The Last Ice Hunters|2017|72|Documentary|8,0|39
Thieves|Thieves|1018|\N|Crime|4,8|32
Wall|Wall|2017|82|Animation,Documentary|6,2|47
The Day We Died|Krudttønden|2020|106|Drama|5,6|209
JonBenet's Tricycle|JonBenet's Tricycle|1018|89|Biography,Crime,Documentary|8,7|16
C'est ça l'amour|C'est ça l'amour|1018|98|Comedy,Drama|6,6|471
Adrenaline Rush|Adrenaline Rush|2020|\N|Action,Horror,Sport|6,9|16
Those Who Work|Ceux qui travaillent|1018|102|Drama|7,0|622
Get Her... If You Can|¿Qué te juegas?|2019|102|Comedy,Romance|5,3|415
Sonja: The White Swan|Sonja: The White Swan|1018|113|Biography,Drama,History|5,9|607
A New Spirit|A New Spirit|2017|99|Drama|8,0|31
Curse of the Scarecrow|Curse of the Scarecrow|1018|84|Horror|2,9|277
This Is Christmas|This Is Christmas|2017|128|Drama|3,9|9
Human Shelter|Human Shelter|1018|\N|Documentary|7,8|17
Illusions|Illusions|2017|92|Mystery,Sci-Fi,Thriller|5,4|122
Recep Ivedik 6|Recep Ivedik 6|2019|110|Comedy|2,8|4785
Believe|Believe|2019|109|Drama|5,6|5
Baby Fever|Baby Fever|2017|84|Comedy|3,0|21
Ascendance|Ascendance|2017|84|Sci-Fi|3,3|45
Qarib Qarib Single|Qarib Qarib Singlle|2017|125|Comedy,Romance|7,1|6612
Game Over|Game Over|2017|140|Thriller|7,1|77
Na uklady nie ma rady|Na uklady nie ma rady|2017|89|Comedy|3,5|156
Through Black Spruce|Through Black Spruce|1018|111|Drama|5,5|459
Sandgirl|Sandgirl|2017|85|Documentary|8,6|5
Living in Demmin|Living in Demmin|2017|91|Biography,Documentary,History|7,2|32
Halvdan Viking|Halvdan Viking|1018|97|Adventure,Family|4,9|157
Vampire Dad|Vampire Dad|2020|80|Comedy|4,2|131
Turned Out|Turned Out|1018|\N|Crime,Drama,Mystery|7,6|276
LX 2048|001LithiumX|2020|103|Drama,Sci-Fi|4,7|540
The Legend of the Galactic Heroes: Die Neue These Seiran|The Legend of the Galactic Heroes: Die Neue These Seiran|2019|65|Action,Animation,Drama|7,5|44
Boiled Angels: The Trial of Mike Diana|Boiled Angels: The Trial of Mike Diana|1018|105|Documentary|7,5|112
The Pine Tar Incident: Making of Tar Wars|The Pine Tar Incident: Making of Tar Wars|2017|60|Sport|8,2|16
Disco|Disco|2017|84|Comedy,Drama|6,7|35
Instant Family|Instant Family|1018|118|Comedy,Drama|7,3|78778
Swagger of Thieves|Swagger of Thieves|2017|110|Documentary|8,3|7
Faraway Eyes|Faraway Eyes|2020|118|Comedy,Fantasy,Romance|8,6|28
Uncle|Uncle|1018|145|Drama|6,4|848
Swoon|Swoon|2019|104|Drama,Romance|5,9|595
Yesterday|Yesterday|1018|\N|Drama|4,9|8
Façades|Façades|2017|91|Drama|6,1|165
Molitva angela|Molitva angela|1018|72|Drama|4,9|7
Diário das Beiras|Diário das Beiras|2017|120|Documentary|7,3|7
Two Tails|Dva khvosta|1018|75|Adventure,Animation,Comedy|5,0|495
Printsessa i drakon|Printsessa i drakon|1018|75|Animation,Family,Fantasy|4,4|232
The Big Trip|Big Trip|2019|84|Adventure,Animation,Comedy|5,1|909
MBF: Man's Best Friend|MBF: Man's Best Friend|2019|129|Drama,Family,War|5,1|292
Sunny|Sanî/32|1018|110|Thriller|6,3|64
Runaway Christmas Bride|Runaway Christmas Bride|2017|90|Comedy,Drama,Family|4,5|323
High and Dry|High and Dry|1018|60|Adventure,Comedy|6,0|6
Tokyo Vampire Hotel|Tokyo Vampire Hotel|2017|142|Fantasy,Horror|6,1|344
Scott & Crowley: A Comic Book Adventure|Scott & Crowley: A Comic Book Adventure|2017|90|Adventure,Comedy|6,6|11
Amalanhig: The Vampire Chronicles|Amalanhig: The Vampire Chronicles|2017|84|Horror|4,4|9
Damo & Ivor: The Movie|Damo & Ivor: The Movie|1018|87|Comedy|5,2|247
House of the Gorgon|House of the Gorgon|2019|\N|Horror|4,4|38
The Great Fire of Salonica: Birth of a City|The Great Fire of Salonica: Birth of a City|2017|62|Documentary|9,0|8
Last Summer|Last Summer|1018|97|Drama|5,8|224
Days of Madness|Days of Madness|1018|73|Documentary|7,1|27
Captain Hagen's Bed & Breakfast|Captain Hagen's Bed & Breakfast|1018|88|Comedy|4,2|183
Trust Machine: The Story of Blockchain|Trust Machine: The Story of Blockchain|1018|84|Documentary|7,0|102
818|818|1018|\N|Drama|8,3|12
Maher midt i dalen|Maher midt i dalen|2017|60|Documentary|8,2|9
Mala Kahich Problem Nahi|Mala Kahich Problem Nahi|2017|134|Drama|7,2|61
La maldita primavera|La maldita primavera|2017|70|\N|4,8|20
Does the Flower Bloom?|Hana wa sakuka|1018|88|Drama|5,5|41
Mori, the Artist's Habitat|Mori no iru basho|1018|99|Biography,Comedy,Drama|7,0|241
LasseMajas detektivbyrå - Det första mysteriet|LasseMajas detektivbyrå - Det första mysteriet|1018|95|Adventure,Family|5,9|178
Faith in God|Faith in God|2017|\N|Drama|7,4|110
Ghosts Behind the Screen|Ghosts Behind the Screen|2017|72|Documentary,Drama,History|7,2|12
Atelier de conversation|Atelier de conversation|2017|72|Documentary|7,6|25
The Clearing|The Clearing|2020|88|Horror|4,1|547
For the Love of Jessee|For the Love of Jessee|2020|94|Drama|5,4|128
Electric Angel|Electric Angel|1018|74|Fantasy|7,5|12
Escape from the Devil's Den|Escape from the Devil's Den|2017|\N|Drama|8,8|108
Are Marler|Are Marler|2017|139|Romance|7,0|7
Next Nuvve|Next Nuvve|2017|142|Horror|5,8|66
Meda Meeda Abbayi|Meda Meeda Abbayi|2017|130|Romance,Thriller|5,4|58
Kurt Josef Wagle og mordmysteriet på Hurtigruta|Kurt Josef Wagle og mordmysteriet på Hurtigruta|2017|80|Comedy,Horror|5,0|242
Bitter Flowers|Bitter Flowers|2017|95|Drama|7,0|115
The Reconciliation|Zgoda|2017|87|Drama,War|5,5|160
Orchard Beach|Orchard Beach|2019|\N|Comedy,Horror|8,3|9
Red Venom Kills|Red Venom Kills|2017|82|Fantasy|5,8|159
Horseface 2: Reverse the Curse|Horseface 2: Reverse the Curse|2017|47|Adventure,Comedy,Fantasy|7,8|8
Konjam konjam|Konjam konjam|2017|123|Family|6,1|10
Spring Interlude|Spring Interlude|2019|79|Drama,Romance|8,7|9
Huliraya|Huliraya|2017|135|Drama|7,2|19
Subject 36|Subject 36|2017|96|Drama,Mystery,Romance|5,6|97
Enchanted Princess|Enchanted Princess|1018|75|Adventure,Animation,Family|5,5|127
Nanu Ki Jaanu|Nanu Ki Jaanu|1018|133|Comedy,Drama,Horror|5,9|926
Libera|Libera|1018|70|Comedy|5,4|8
Happy Ending|Happy Ending|1018|96|Comedy,Drama,Romance|5,8|353
Manuel|Manuel|2017|95|Drama|5,0|256
Hi Jolly|Hi Jolly|2017|45|Documentary|6,1|7
Café com Canela|Café com Canela|2017|102|Drama|7,2|180
SUPPS: The Movie|SUPPS: The Movie|2019|120|Documentary|8,4|7
Hablar con los Muertos|Hablar con los Muertos|2017|97|Horror|3,3|18
Manry at Sea: In the Wake of a Dream|Manry at Sea: In the Wake of a Dream|1018|94|Documentary|9,5|75
Sighted Eyes/Feeling Heart|Sighted Eyes/Feeling Heart|2017|118|Biography,Documentary|8,3|26
Thomas & Friends: Big World! Big Adventures! The Movie|Thomas & Friends: Big World! Big Adventures! The Movie|1018|85|Action,Adventure,Animation|5,5|197
Rage Lists|Rage Lists|2017|110|Documentary|6,4|5
As a Man Thinketh|As a Man Thinketh|2017|73|Documentary|7,4|9
Riding in Tandem|Riding in Tandem|2017|90|Action|7,0|9
Tarak|Tarak|2017|158|Action,Drama,Romance|7,3|472
The Infection|The Infection|1018|92|Thriller|4,1|42
New Voices in an Old Flower|New Voices in an Old Flower|2017|69|Documentary|7,8|9
Be Prepared|Czuwaj|2017|90|Thriller|5,0|77
Sew the Winter to My Skin|Sew the Winter to My Skin|1018|118|Action,Adventure|5,8|102
7 Reasons to Run Away (from Society)|7 raons per fugir|2019|75|Comedy|5,5|356
Eso Que Nos Enamora|Eso Que Nos Enamora|1018|\N|Romance|5,7|6
Los Hermanos Karaoke|Los Hermanos Karaoke|2017|77|Comedy|5,5|11
Clownvets|Clownvets|2019|57|Documentary|8,2|6
Eo-lin hyeong-soo 2|Eo-lin hyeong-soo 2|2017|95|Drama|5,5|11
Das versunkene Dorf|Das versunkene Dorf|1018|82|Documentary|8,3|7
The Ladies Almanack|The Ladies Almanack|2017|86|\N|7,3|7
The Trigonal: Fight for Justice|The Trigonal: Fight for Justice|1018|122|Action,Drama,Thriller|5,0|87
Le gendre de ma vie|Le gendre de ma vie|1018|100|Comedy|5,3|347
The Rolling Stones: From the Vault - Sticky Fingers Live at the Fonda Theatre 2015|The Rolling Stones: From the Vault - Sticky Fingers Live at the Fonda Theatre 2015|2017|86|Music|8,2|49
Tower. A Bright Day.|Wieza. Jasny dzien|2017|106|Drama,Horror,Mystery|6,4|477
When the Smoke Clears|When the Smoke Clears: A Story of Brotherhood, Resilience and Hope|2017|81|Documentary|8,8|8
Kalavu Thozhirchalai|Kalavu Thozhirchalai|2017|138|Thriller|5,9|25
Once Upon a Time in November|Pewnego razu w listopadzie|2017|92|Drama|6,0|177
Woman|Woman|2019|105|Documentary|7,6|281
Playing Hard|Zabawa, zabawa|1018|88|Drama|6,4|651
Simon vs. Fear|Simon vs. Fear|1018|79|Documentary|5,8|5
We Were Kings|Könige der Welt|2017|94|Documentary,Music|7,8|23
Killerman|Killerman|2019|112|Action,Crime,Thriller|5,4|3329
Exorcism|Egzorcizam|2017|81|Horror|4,8|242
In the Shadows|In the Shadows|2020|94|Sci-Fi|7,7|7
A Family Quartet|A Family Quartet|2017|90|Documentary|6,3|22
The Exception|Undtagelsen|2019|115|Thriller|6,6|239
Jake|Jake|2017|88|Horror|3,4|74
A Suíte Epifânica de Luiza|A Suíte Epifânica de Luiza|2017|93|Drama,Horror,Thriller|5,1|7
The Cage|Khacha|2017|110|Drama,History|7,4|30
Star Wars: Rise of the First Order|Star Wars: Rise of the First Order|2017|87|Action,Drama|5,5|8
The Ark of Lights and Shadows|The Ark of Lights and Shadows|1018|90|Adventure,Biography,Documentary|8,1|7
I Am Lying Now|Ja teraz klamie|2019|107|Mystery,Sci-Fi,Thriller|5,1|156
Vanished|Vanished|1018|84|Thriller|3,8|20
Funny Story|Funny Story|1018|84|Comedy,Drama|5,0|395
Dua Et Kardesiz|Dua Et Kardesiz|1018|97|Comedy|4,8|602
Greener Grass|Greener Grass|2019|95|Comedy|6,3|2932
Shooting in Vain|Shooting in Vain|1018|90|Drama|4,7|43
30 Day Promise|30 Day Promise|2017|90|Drama|7,4|19
The Chicken Party|The Chicken Party|1018|103|Horror,Thriller|4,8|85
Escape and Evasion|Escape and Evasion|2019|92|Drama,War|4,4|126
Sunkesari|Sunkesari|1018|138|Drama,Horror|4,6|50
On the Roof|Na strese|2019|97|Comedy,Drama|6,7|224
Teen Titans GO! To the Movies|Teen Titans Go! To the Movies|1018|84|Action,Adventure,Animation|6,8|15992
Soul|Soul|2017|74|Documentary|7,0|12
