Year,Incident cost,Description,Animal group,Property type,Property category,Service type,"Ward code
",Ward,Borough Code,Borough,Station,Postcode,Latitude,Longitude
2009,255,"ASSIST RSPCA WITH KITTEN UP TREE ,B15",Cat,Cycle path/public footpath/bridleway,Outdoor,Animal rescue from height,E05000422,Gipsy Hill,E09000022,Lambeth,West Norwood,SE19,51.42248815,-0.083662056
2009,255,"CAT TRAPPED BETWEEN KITCHEN CUPBOARDS,B15",Cat,Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Animal rescue from water,E05000420,Coldharbour,E09000022,Lambeth,Brixton,SW9,NULL,NULL
2009,255,"CAT TRAPPED BETWEEN KITCHEN CUPBOARDS,B15",Cat,Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Other animal assistance,E05000420,Coldharbour,E09000022,Lambeth,Brixton,SW9,NULL,NULL
2009,255,"PIGEON IN PRECARIOUS POSITION, B15",Bird,Tree scrub,Outdoor,Animal rescue from below ground,E05000644,St. James's,E09000033,Westminster,Soho,WC2H,51.51134253,-0.131356592
2009,255,"LARGE ANIMAL RESCUE,B1, B17",Unknown - Heavy Livestock Animal,Other outdoor location,Outdoor,Other animal assistance,E05000405,Chessington South,E09000021,Kingston upon Thames,Surbiton,KT9,51.34119192,-0.319051309
2009,255,"CAT STUCK BEHIND WASHING MACHINE,B15",Cat,Other Residential Home,Other Residential,Other animal assistance,E05000379,St. Mary's,E09000019,Islington,Islington,N1,51.54302515,-0.103421503
2009,255,"DOG IN WATER, J15",Dog,Lake/pond/reservoir,Outdoor,Animal rescue from water,E05000593,Chingford Green,E09000031,Waltham Forest,Chingford,E4,51.63284278,0.018351358
2009,255,"DOG TRAPPED IN BARBED WIRE,B15",Dog,Cycle path/public footpath/bridleway,Outdoor,Other animal assistance,E05000274,Muswell Hill,E09000014,Haringey,Hornsey,N8,51.58554114,-0.134780349
2009,255,"SWAN IN DISTRESS, J15",Bird,River/canal,Outdoor,Animal rescue from water,E05009330,St. Katharine's & Wapping,E09000030,Tower Hamlets,Shadwell,E1W,51.50830086,-0.059254177
2009,255,"ASSIST RSPCA WITH TRAPPED PIGEON , B15",Bird,Single shop,Non Residential,Animal rescue from height,E05000159,Purley,E09000008,Croydon,Purley,CR8,51.33781546,-0.115464278
2009,1275,"KITTEN STUCK IN MUD,J15",Cat,River/canal,Outdoor,Animal rescue from water,E05000075,Erith,E09000004,Bexley,Erith,DA8,51.48527845,0.17735639
2009,255,"PIGEON TRAPPED,B15",Bird,Tree scrub,Outdoor,Animal rescue from height,E05000363,Osterley and Spring Grove,E09000018,Hounslow,Heston,TW7,51.48303265,-0.32477449
2009,255,"ASSIST RSPCA WITH GULL STUCK IN TREE  ,B15",Bird,Park,Outdoor,Animal rescue from below ground,E05000100,Stonebridge,E09000005,Brent,Park Royal,NW10,51.54957001,-0.256357552
2009,255,"INJURED CAT ON ROOF,B15",Cat,Purpose Built Flats/Maisonettes - 10 or more storeys,Dwelling,Animal rescue from height,E05000034,Heath,E09000002,Barking and Dagenham,Dagenham,RM10,NULL,NULL
2009,255,"FOX TRAPPED ABOVE WATER, B15",Fox,Bridge,Outdoor Structure,Animal rescue from height,E05000416,Bishop's,E09000022,Lambeth,Lambeth,SE1,51.50719166,-0.1136144
2009,255,"ASSIST RSPCA WITH CAT IN TREE,B15",Cat,Tree scrub,Outdoor,Animal rescue from below ground,E05000060,Underhill,E09000003,Barnet,Barnet,EN5,51.64662325,-0.199082475
2009,255,"TO ASSIST RSPCA WITH GULL IN TREE TRAPPED BY FISHING LINE,B2",Bird,Lake/pond/reservoir,Outdoor,Animal rescue from water,E05000456,Cannon Hill,E09000024,Merton,New Malden,SW20,51.40273602,-0.219693097
2009,255,"SMALL ANIMAL RESCUE,B15",Unknown - Domestic Animal Or Pet,House - single occupancy,Dwelling,Animal rescue from height,E05000442,Downham,E09000023,Lewisham,Bromley,BR1,NULL,NULL
2009,255,"KITTEN TRAPPED BETWEEN WALL AND WOOD PANEL,B15",Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from below ground,E05000484,Forest Gate South,E09000025,Newham,Stratford,E7,NULL,NULL
2009,255,"BIRD TRAPPED IN APEX OF HOUSE, B15",Bird,House - single occupancy,Dwelling,Animal rescue from height,E05000597,Hale End and Highams Park,E09000031,Waltham Forest,Woodford,E4,NULL,NULL
2009,510,"CAT WITH PAWS TRAPPED IN WINDOW, B15",Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from height,E05000229,Woolwich Common,E09000011,Greenwich,Plumstead,SE18,NULL,NULL
2009,255,"BIRD TRAPPED IN WIRING,B15",Bird,House - single occupancy,Dwelling,Animal rescue from height,E05000039,Thames,E09000002,Barking and Dagenham,Barking,IG11,NULL,NULL
2009,255,"DOG TRAPPED UNDER CAR,B15",Dog,Car,Road Vehicle,Other animal assistance,E05000130,Camden Town with Primrose Hill,E09000007,Camden,Euston,NW1,51.53927199,-0.155102008
2009,255,"CAT TRAPPED IN NARROW TUBE ON ROOF, B15",Cat,House - single occupancy,Dwelling,Animal rescue from height,E05000475,Beckton,E09000025,Newham,East Ham,E6,NULL,NULL
2009,255,"CAT TRAPPED BETWEEN CHIMNEY POTS, B15",Cat,House - single occupancy,Dwelling,Animal rescue from height,E05000481,East Ham North,E09000025,Newham,East Ham,E6,NULL,NULL
2009,255,"PIGEON TRAPPED IN SHELTER, B15",Bird,Railway building - other,Non Residential,Animal rescue from height,E05000478,Canning Town South,E09000025,Newham,Plaistow,E16,51.51498237,0.009102484
