Petition,URL,State,Signatures Count
make the use of photoshopped images in magazines and broadcast material illegal,https://petition.parliament.uk/archived/petitions/200298,rejected,7
Change the GCSE English Literature exam from closed book to open book.,https://petition.parliament.uk/archived/petitions/200299,closed,165932
Require meat to be marked according to its slaughter method,https://petition.parliament.uk/archived/petitions/200300,closed,8668
"Remove the prefix ""Royal"" from The Royal Borough of Kensington and Chelsea.",https://petition.parliament.uk/archived/petitions/200306,rejected,6
Make Hydraulic Fracturing (Fracking) illegal in the UK,https://petition.parliament.uk/archived/petitions/200307,closed,24940
Make it mandatory for UK Councils to provide recycling bins in all public areas,https://petition.parliament.uk/archived/petitions/200308,closed,69
Foreign hgv drivers should pass a CPC and module 4 test in order to get hgv jobs,https://petition.parliament.uk/archived/petitions/200309,rejected,6
Increase the sentencing for animal cruelty so that the punishment fits the crime,https://petition.parliament.uk/archived/petitions/200310,rejected,6
No referendum on the final deal for the UK to remain in the European Union.,https://petition.parliament.uk/archived/petitions/200311,closed,14438
Review CMA ruling on the lighting industry to prevent further damage to retail,https://petition.parliament.uk/archived/petitions/200312,rejected,15
Create a devolved Yorkshire Assembly with powers equal to the Welsh Assembly,https://petition.parliament.uk/archived/petitions/200313,closed,254
The government should not be transferring all EU Regulations into British law.,https://petition.parliament.uk/archived/petitions/200316,closed,197
Make it mandatory for all mainline train services to carry a defibrillator,https://petition.parliament.uk/archived/petitions/200318,closed,46
Close anticlock sliproad M25 junction 1b to stop drivers cutting from junction 2,https://petition.parliament.uk/archived/petitions/200320,closed,223
"You offer the opportunity to petition, listen, don't manipulate and control.",https://petition.parliament.uk/archived/petitions/200325,rejected,21
UK Govt: Help to rebuild communities affected by the mudslides in Sierra Leone,https://petition.parliament.uk/archived/petitions/200328,closed,41
Change the law so that all dogs have to be on a lead in public areas,https://petition.parliament.uk/archived/petitions/200331,closed,600
Suspend the ambassador of Myanmar for his country's action against the Rohingya.,https://petition.parliament.uk/archived/petitions/200332,closed,65
Ban Sharia Law & Councils from practising in the U.K.,https://petition.parliament.uk/archived/petitions/200333,rejected,21
stop making food without gluten wheat etc in the same factory what handles it,https://petition.parliament.uk/archived/petitions/200337,rejected,6
