biz_type,name,postcode,rating_date,rating_key,rating_value
Other catering premises,Appletree Nursery,CF24 5HF,2019-10-21,fhrs_4_en-GB,4
Retailers - other,Apricots,CF3 5SJ,2016-07-15,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Aramark At Conduit Cardiff,CF10 5DA,2017-12-20,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Aramark Ltd,CF14 3UZ,2019-10-01,fhrs_5_en-GB,5
Manufacturers/packers,Arcadian Brewing Company Ltd,CF5 3BL,2018-06-24,fhrs_4_en-GB,4
Retailers - other,Ardour Academy,CF24 3PE,2018-11-30,fhrs_4_en-GB,4
Retailers - other,Arif Halal Food Store,CF10 2TH,2020-01-14,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Aroma Coffee Outlet,CF14 4HH,2019-08-09,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Aroma Express,CF14 4XW,2019-11-28,fhrs_3_en-GB,3
Hospitals/Childcare/Caring Premises,Aros I Chwarae,CF5 5AQ,2013-01-31,fhrs_4_en-GB,4
Retailers - other,Arti Off Licence,CF11 9DU,2016-11-01,fhrs_5_en-GB,5
Retailers - other,Artisan Bakery,CF23 7DH,2020-03-10,fhrs_3_en-GB,3
Manufacturers/packers,Artisan Brewing Co,CF11 9DF,2018-06-19,fhrs_2_en-GB,2
Mobile caterer,Artisan Crepes,CF11 6DQ,2017-11-23,fhrs_5_en-GB,5
Other catering premises,Arvinda Patel,CF11 6DQ,2013-09-16,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Asador 44,CF10 1EA,2018-07-12,fhrs_5_en-GB,5
Retailers - supermarkets/hypermarkets,Asda,CF11 0JR,2018-06-14,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Asda Stores,CF11 8EG,2018-02-06,fhrs_5_en-GB,5
Retailers - other,Asda Stores Limited (Petrol Forecourt),CF14 7EW,2016-12-21,fhrs_5_en-GB,5
Retailers - other,Asda Stores LTD,CF11 0JR,2016-03-04,fhrs_5_en-GB,5
Retailers - supermarkets/hypermarkets,Asda Stores Ltd,CF23 8NL,2019-03-01,fhrs_4_en-GB,4
Retailers - supermarkets/hypermarkets,Asda Walmart Supercentre,CF14 7EW,2018-03-15,fhrs_4_en-GB,4
Other catering premises,Asiaspicebox,CF14 7EW,2019-07-19,fhrs_5_en-GB,5
Other catering premises,At Seat Catering 2003 Ltd,CF10 1FJ,2016-08-02,fhrs_5_en-GB,5
Retailers - other,ATMA,CF10 2HQ,2019-03-27,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Aubergine Cafe,CF11 6BB,2019-09-03,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Aubrey's Snack Shack,CF23 9AQ,2019-03-06,fhrs_5_en-GB,5
Takeaway/sandwich shop,Auntie Anne's,CF10 2EL,2018-11-28,fhrs_4_en-GB,4
Hospitals/Childcare/Caring Premises,Avalon,CF11 9JA,2015-11-30,fhrs_5_en-GB,5
Retailers - other,Avant-Garde Vegan,CF23 6QT,2016-09-22,fhrs_5_en-GB,5
Retailers - other,Avondale Stores (premier),CF11 7DS,2017-08-22,fhrs_4_en-GB,4
Retailers - other,Ayan Halal Meat,CF24 3JG,2019-12-02,fhrs_3_en-GB,3
Retailers - other,B & M Home Store,CF11 0JR,2018-11-06,fhrs_5_en-GB,5
Retailers - supermarkets/hypermarkets,B And M Retail Ltd,CF14 5EY,2020-02-18,fhrs_5_en-GB,5
Mobile caterer,B Chambers Catering,CF23 8NL,2019-06-30,fhrs_5_en-GB,5
Mobile caterer,B Chambers Catering,CF5 5TG,2019-04-11,fhrs_5_en-GB,5
Retailers - other,B&M BARGAINS,CF23 7XH,2017-06-21,fhrs_5_en-GB,5
Retailers - other,B&M Retail Ltd,CF24 1RQ,2013-10-24,fhrs_5_en-GB,5
Retailers - other,Baan Thai Foods,CF14 3JP,2018-10-11,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Bab AL-Yemen Restaurant and Takeaway,CF11 6RU,2020-01-21,fhrs_1_en-GB,1
Takeaway/sandwich shop,Baba's Takeaway Ltd,CF24 1NF,2019-03-12,fhrs_4_en-GB,4
Hospitals/Childcare/Caring Premises,Baby Acorns Nursery,CF24 3QX,2019-02-18,fhrs_5_en-GB,5
Manufacturers/packers,Babylon Doner Ltd,CF24 3BE,2020-03-12,fhrs_4_en-GB,4
Hospitals/Childcare/Caring Premises,Baden Powell Primary Breakfast Club,CF24 2SJ,2013-10-08,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Baden Powell Primary School Nursery & Reception,CF24 2SJ,2017-06-08,fhrs_4_en-GB,4
School/college/university,Baden Powell School,CF24 2SJ,2020-03-09,fhrs_2_en-GB,2
Restaurant/Cafe/Canteen,Bae Coffi,CF10 5FE,2016-01-15,fhrs_5_en-GB,5
Takeaway/sandwich shop,Bage Kitchen,CF24 0HW,2019-04-08,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Baguettes & Bagels,CF24 4AS,2020-03-06,fhrs_5_en-GB,5
Other catering premises,Baguetty Junction,CF10 5DN,2020-08-27,fhrs_4_en-GB,4
Other catering premises,Bakeology Cardiff,CF10 5DN,2020-03-10,fhrs_5_en-GB,5
Retailers - other,Bakers Dozen,CF24 2BU,2020-03-16,fhrs_4_en-GB,4
Other catering premises,Bakes and Bobbles,CF24 2BU,2020-01-25,fhrs_5_en-GB,5
Takeaway/sandwich shop,Balti King,CF24 4DY,2019-03-20,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Balti Master,CF11 6LR,2018-02-21,fhrs_5_en-GB,5
Takeaway/sandwich shop,Bamboo Garden,CF11 9PP,2019-12-16,fhrs_2_en-GB,2
Takeaway/sandwich shop,BAMBOO HOUSE,CF24 1NL,2019-12-02,fhrs_5_en-GB,5
Other catering premises,Bannatynes Health Club,CF14 5DU,2019-12-10,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Banqueting & Functions,CF10 3RB,2018-12-19,fhrs_5_en-GB,5
Retailers - other,Bant A La Cart,CF11 9PP,2019-02-19,fhrs_3_en-GB,3
Other catering premises,Bao Selecta,CF11 9PP,2019-09-06,fhrs_5_en-GB,5
Other catering premises,Bar 105,CF24 4HU,2020-02-26,fhrs_3_en-GB,3
Pub/bar/nightclub,Bar 33,CF10 3BZ,2015-02-24,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bar 44 Cardiff,CF10 1DD,2019-03-14,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Bar Campaccino,CF23 8FG,2019-05-11,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Barburrito,CF10 2EF,2020-02-18,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Barclaycard,CF23 8FF,2020-01-17,fhrs_4_en-GB,4
Retailers - other,Bargain Bazaar,CF24 1LX,2014-06-10,fhrs_5_en-GB,5
Retailers - other,Bargain Booze,CF14 2FE,2019-01-09,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Barn Rotisserie,CF24 4AD,2019-04-16,fhrs_3_en-GB,3
Other catering premises,Barnardos Ely Family Centre,CF5 4LE,2017-12-04,fhrs_3_en-GB,3
Pub/bar/nightclub,Barocco,CF10 1AG,2019-12-04,fhrs_5_en-GB,5
Takeaway/sandwich shop,Basilco Pizza,CF24 1NL,2020-02-28,fhrs_1_en-GB,1
Retailers - other,Batleys,CF11 8AQ,2020-08-10,fhrs_1_en-GB,1
Restaurant/Cafe/Canteen,Baxterstorey 5040 Broadcasting House Cardiff,CF10 1FS,2020-09-07,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Baxterstorey 5041 Cardiff Ty Oldfield,CF5 2YQ,2019-12-03,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Baxterstorey Ltd,CF10 4GA,2018-10-09,fhrs_4_en-GB,4
Other catering premises,Bay Leaf Wales Limited,CF5 2DZ,2020-01-15,fhrs_5_en-GB,5
Retailers - other,Bay Provisions Ltd,CF24 0LJ,2019-10-28,fhrs_5_en-GB,5
Retailers - other,Bay Tree Wine Company,CF24 5EA,2013-10-08,fhrs_5_en-GB,5
Retailers - other,Bay View Convenience Store,CF10 5AD,2017-05-18,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Bb's Coffee & Muffins,CF10 2DQ,2017-11-06,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Beacon Centre,CF3 0PJ,2018-05-08,fhrs_5_en-GB,5
Retailers - other,Bean Freaks,CF24 3LP,2016-09-22,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Beanfreaks,CF11 9DX,2020-01-15,fhrs_5_en-GB,5
Retailers - other,Beanfreaks Health Food,CF10 1AT,2018-08-17,fhrs_5_en-GB,5
Takeaway/sandwich shop,Beanos,CF11 6RU,2019-04-29,fhrs_4_en-GB,4
Other catering premises,Beatrice Phillips,CF11 6RU,2014-12-08,fhrs_5_en-GB,5
Retailers - other,Beechley Superstores,CF5 3SJ,2020-01-06,fhrs_5_en-GB,5
Pub/bar/nightclub,Beelzebub Bars Ltd,CF10 1BG,2020-02-26,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Befit Kitchen,CF24 3DL,2019-08-07,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Bella Italia Cardiff / Mac n Shack /Big Dog,CF24 3DL,2019-11-26,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bella Italia Cardiff Bay / Mac n Shack,CF10 4JY,2020-01-07,fhrs_5_en-GB,5
Takeaway/sandwich shop,Bella's,CF24 4NQ,2020-01-02,fhrs_3_en-GB,3
Hospitals/Childcare/Caring Premises,Bellavista Cardiff,CF10 5GB,2019-11-28,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Belle Vue South Wales Ltd,CF24 1AJ,2019-12-10,fhrs_4_en-GB,4
Retailers - other,Benedito's,CF24 2BU,2020-02-19,fhrs_1_en-GB,1
Takeaway/sandwich shop,Benny's Chicken,CF24 3RP,2018-11-07,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Benugo Ltd,CF10 1EG,2018-01-09,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Beppys Cafe,CF14 2FE,2019-03-04,fhrs_4_en-GB,4
Other catering premises,Bespoke Cake Creations,CF24 4NW,2015-01-28,fhrs_5_en-GB,5
Retailers - other,Bespoke Wines Ltd,CF24 3PF,2011-11-08,fhrs_5_en-GB,5
Retailers - other,Best European Food,CF24 1LY,2019-11-08,fhrs_1_en-GB,1
Retailers - other,Bestone Xpress,CF5 1HD,2017-07-17,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Bethel Lunch Club,CF14 5BJ,2019-10-10,fhrs_4_en-GB,4
Other catering premises,Bethel Lunch Club Whitchurch,CF14 2AA,2020-02-26,fhrs_5_en-GB,5
Other catering premises,Bethesda Luncheon Club,CF14 6BP,2019-03-07,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Beverley Hotel,CF11 9PG,2015-01-10,fhrs_5_en-GB,5
Takeaway/sandwich shop,Big Fish,CF3 3EA,2019-12-02,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Big Moose Coffee Company,CF10 2DB,2020-10-21,fhrs_5_en-GB,5
Hotel/bed & breakfast/guest house,Big Sleep Hotel,CF10 2FE,2018-06-19,fhrs_2_en-GB,2
Mobile caterer,Bigmoose Coffee Co,CF10 2FE,2018-09-17,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bill's Restaurant,CF10 5BW,2019-04-18,fhrs_4_en-GB,4
Restaurant/Cafe/Canteen,Bill's Restaurants Ltd,CF10 1FH,2019-11-21,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Birchgrove Nursery,CF10 1FH,2017-12-14,fhrs_4_en-GB,4
Hospitals/Childcare/Caring Premises,Birchgrove Primary Breakfast Club,CF14 1RR,2010-10-19,fhrs_5_en-GB,5
School/college/university,Birchgrove Primary School,CF14 1RR,2019-03-15,fhrs_5_en-GB,5
School/college/university,Bishop Childs c/w Primary School,CF3 0AY,2020-01-17,fhrs_5_en-GB,5
School/college/university,Bishop of Llandaff High School,CF5 2NR,2019-09-10,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Bishops Childs Church In Wales Primary School Breakfast Club,CF3 0AY,2017-06-20,fhrs_5_en-GB,5
Retailers - other,Bishopston Stores,CF5 5DX,2018-11-12,fhrs_3_en-GB,3
Hospitals/Childcare/Caring Premises,Bizzy Bees Playgroup,CF5 3ED,2018-05-22,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Black and White Cafe,CF11 6NP,2020-10-05,fhrs_3_en-GB,3
Mobile caterer,Black Tie Bartenders,CF23 9AE,2018-12-12,fhrs_5_en-GB,5
Pub/bar/nightclub,Blackweir Tavern,CF10 3DX,2020-01-21,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Blanche Bakery Ltd,CF24 4RQ,2018-03-23,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bloc Coffee LTD,CF5 1JN,2018-05-15,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Blossom,CF24 3NZ,2020-02-10,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Blossom Tree After School Club,CF14 6LX,2019-09-25,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Blossom Tree Nursery,CF14 4SY,2019-08-01,fhrs_3_en-GB,3
Restaurant/Cafe/Canteen,Blue Bird Catering Ltd,CF10 1AF,2020-01-23,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Blue Door Nursery,CF14 3PP,2018-12-03,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Blue Honey Night Cafe Ltd,CF10 1DZ,2018-03-20,fhrs_4_en-GB,4
Takeaway/sandwich shop,Blue Star,CF24 2PG,2019-11-18,fhrs_5_en-GB,5
Hospitals/Childcare/Caring Premises,Blueberry Bears Day Nursery,CF10 5FZ,2019-07-30,fhrs_5_en-GB,5
Mobile caterer,BMS Catering,CF10 5FZ,2018-02-03,fhrs_5_en-GB,5
Restaurant/Cafe/Canteen,Bo Zan Restaurant,CF24 3RS,2019-09-23,fhrs_4_en-GB,4
Other catering premises,Boba Time,CF24 4AZ,2019-09-09,fhrs_3_en-GB,3
